genere,genere_collegato,relazione
psychedelic rock,heavy psych,subgenre
heavy psych,blues rock,influenced by
mambo chileno,mambo,influenced by
heavy psych,hard rock,influenced by
electronic,hexd,subgenre
hexd,cloud rap,influenced by
hexd,edm,influenced by
hexd,trap,influenced by
hexd,vaporwave,influenced by
disco,electro-disco,subgenre
electro-disco,electronic,influenced by
electro-disco,hi-nrg,subgenre
blues,hill country blues,subgenre
hip hop,disco,influenced by
hip hop,funk,influenced by
hip hop,reggae,influenced by
contemporary r&b,hip hop soul,subgenre
hip hop soul,hip hop,influenced by
hip hop soul,new jack swing,influenced by
house,hip house,subgenre
hip house,hip hop,influenced by
hip hop,hiplife,subgenre
hiplife,highlife,influenced by
country,honky tonk,subgenre
punk rock,horror punk,subgenre
hip hop,horrorcore,subgenre
house,disco,influenced by
humppa,jazz,influenced by
pop,hyperpop,subgenre
hyperpop,bubblegum bass,influenced by
hyperpop,dance-pop,influenced by
hyperpop,electropop,influenced by
hip hop,hyphy,subgenre
pop,hypnagogic pop,subgenre
hypnagogic pop,neo-psychedelia,influenced by
hypnagogic pop,new age,influenced by
hypnagogic pop,synth-pop,influenced by
sound effects,binaural beats,subgenre
trance,goa trance,subgenre
electronic,idm,subgenre
kayōkyoku,idol kayō,subgenre
idol kayō,pop,influenced by
idol kayō,pop rock,influenced by
idol kayō,vocal jazz,influenced by
electronic,illbient,subgenre
illbient,ambient,influenced by
illbient,dub,influenced by
illbient,hip hop,influenced by
western classical,impressionism,subgenre
pop,indian pop,subgenre
contemporary folk,indie folk,subgenre
indie folk,indie rock,influenced by
pop,indie pop,subgenre
alternative rock,indie rock,subgenre
indie rock,pop,influenced by
indie rock,indie surf,subgenre
indie surf,surf rock,influenced by
electronic,indietronica,subgenre
indietronica,indie pop,influenced by
rock and roll,indorock,subgenre
industrial,krautrock,influenced by
industrial,musique concrète,influenced by
industrial,noise,influenced by
hardcore techno,industrial hardcore,subgenre
industrial hardcore,gabber,influenced by
industrial hardcore,industrial,influenced by
industrial hardcore,power noise,influenced by
experimental hip hop,industrial hip hop,subgenre
industrial hip hop,industrial,influenced by
industrial metal,industrial,fusion of
industrial metal,metal,fusion of
musical,industrial musical,subgenre
industrial rock,industrial,fusion of
industrial rock,rock,fusion of
techno,industrial techno,subgenre
industrial techno,industrial,influenced by
hip hop,instrumental hip hop,subgenre
rock,instrumental rock,subgenre
jazz,instrumental jazz,subgenre
eurodance,italo dance,subgenre
house,italo house,subgenre
italo house,italo-disco,influenced by
electro-disco,italo-disco,subgenre
edm,jungle terror,subgenre
jungle terror,big room house,influenced by
jungle terror,tribal house,influenced by
drum and bass,jungle,subgenre
drum and bass,jump up,subgenre
blues,jump blues,subgenre
ghetto house,juke,subgenre
acoustic blues,jug band,subgenre
beat music,jovem guarda,subgenre
hip hop,jerk rap,subgenre
jerk rap,hyphy,influenced by
jazz,jazz-funk,subgenre
jazz-funk,funk,influenced by
rock,jazz rock,subgenre
jazz rock,jazz,influenced by
hip hop,jazz rap,subgenre
jazz rap,jazz,influenced by
pop,jazz pop,subgenre
jazz pop,jazz,influenced by
poetry,jazz poetry,subgenre
jazz poetry,jazz,influenced by
jazz,jazz fusion,subgenre
jazz blues,blues,fusion of
jazz blues,jazz,fusion of
jazz,blues,influenced by
jazz,ragtime,influenced by
pop rock,jangle pop,subgenre
jangle pop,folk rock,influenced by
jangle pop,power pop,influenced by
progressive bluegrass,jamgrass,subgenre
jamgrass,jam band,influenced by
james bay fiddling,celtic,influenced by
ska,jamaican ska,subgenre
rock,jam band,subgenre
jaipongan,gamelan,influenced by
alternative rock,j-rock,subgenre
hardcore techno,j-core,subgenre
pop,j-pop,subgenre
j-pop,city pop,influenced by
j-pop,idol kayō,influenced by
kwela,jazz,influenced by
kwela,marabi,influenced by
soukous,kwassa kwassa,subgenre
house,kwaito,subgenre
kwaito,disco,influenced by
kwaito,hip hop,influenced by
sōkyoku,kumiuta,subgenre
edm,kuduro,subgenre
kuduro,house,influenced by
kuduro,kilapanga,influenced by
kuduro,semba,influenced by
kuduro,techno,influenced by
kuda lumping,gamelan,influenced by
kuda lumping,jaipongan,influenced by
experimental rock,krautrock,subgenre
krautrock,psychedelic rock,influenced by
chinese opera,korean revolutionary opera,subgenre
korean ballad,oriental ballad,subgenre
pop,korean ballad,subgenre
korean ballad,blues,influenced by
korean ballad,soul,influenced by
korean ballad,trot,influenced by
dangdut,koplo,subgenre
koplo,pop,influenced by
koplo,reggae,influenced by
koplo,rock,influenced by
punk rock,könsrock,subgenre
könsrock,post-punk,influenced by
kliningan,gamelan,influenced by
singer-songwriter,kleinkunst,subgenre
kleinkunst,chanson française,influenced by
kizomba,semba,influenced by
kizomba,zouk,influenced by
kidumbak,taarab,influenced by
taarab,kidumbak,influenced by
hindustani classical,khyal,subgenre
kayōkyoku,mood kayō,subgenre
kayōkyoku,techno kayō,subgenre
pop,kayōkyoku,subgenre
kayōkyoku,ryūkōka,influenced by
metal,kawaii metal,subgenre
kawaii metal,j-pop,influenced by
kawaii future bass,chiptune,influenced by
kapuka,hip hop,influenced by
kapuka,reggae,influenced by
kaneka,reggae,influenced by
kacapi suling,tembang cianjuran,influenced by
pop,k-pop,subgenre
k-pop,contemporary r&b,influenced by
k-pop,dance-pop,influenced by
k-pop,hip hop,influenced by
art song,lute song,subgenre
western classical,art song,subgenre
maxixe,lundu,influenced by
experimental,reductionism,subgenre
reductionism,lowercase,subgenre
reggae,lovers rock,subgenre
easy listening,lounge,subgenre
lounge,jazz,influenced by
blues,louisiana blues,subgenre
instrumental hip hop,lo-fi hip hop,subgenre
lo-fi hip hop,downtempo,influenced by
alternative rock,lo-fi,subgenre
drum and bass,atmospheric drum and bass,subgenre
atmospheric drum and bass,ambient,influenced by
atmospheric drum and bass,ambient house,influenced by
drum and bass,jazzstep,subgenre
jazzstep,jazz,influenced by
drum and bass,liquid funk,subgenre
liquid funk,atmospheric drum and bass,influenced by
liquid funk,jazzstep,influenced by
singer-songwriter,liedermacher,subgenre
pop,levenslied,subgenre
levenslied,schlager,influenced by
edm,lento violento,subgenre
lento violento,euro-trance,influenced by
lento violento,hardcore techno,influenced by
lento violento,hardstyle,influenced by
lento violento,italo dance,influenced by
electronic,leftfield,subgenre
spoken word,lecture,subgenre
soul,latin soul,subgenre
latin soul,latin,influenced by
rock,latin rock,subgenre
latin rock,latin,influenced by
pop,latin pop,subgenre
latin pop,latin,influenced by
jazz,latin jazz,subgenre
latin jazz,latin,influenced by
funk,latin funk,subgenre
latin funk,latin,influenced by
disco,latin disco,subgenre
latin disco,latin,influenced by
ballad,latin ballad,subgenre
latin ballad,bolero,influenced by
lambada,carimbó,influenced by
lambada,cumbia,influenced by
lambada,forró,influenced by
marching band,western classical,influenced by
hardstyle,euphoric hardstyle,subgenre
euphoric hardstyle,euro-trance,influenced by
euphoric hardstyle,hands up,influenced by
euphoric hardstyle,melodic trance,influenced by
hardstyle,rawstyle,subgenre
rawstyle,gabber,influenced by
rawstyle,industrial hardcore,influenced by
rawstyle,rawphoric,subgenre
rawphoric,euphoric hardstyle,influenced by
opera-ballet,ballet,fusion of
opera-ballet,opera,fusion of
western classical,mass,subgenre
hardstyle,psystyle,subgenre
psystyle,psytrance,influenced by
muziki wa dansi,jazz,influenced by
muziki wa dansi,soukous,influenced by
experimental electronic,electroacoustic,subgenre
eai,electroacoustic,influenced by
electroacoustic,musique concrète,subgenre
musique concrète,noise,influenced by
singer-songwriter,música de intervenção,subgenre
música de intervenção,chanson française,influenced by
música de intervenção,fado,influenced by
musical,music hall,subgenre
murga,murga uruguaya,subgenre
musical,murga,subgenre
pop,mulatós,subgenre
mulatós,folk,influenced by
mpb,bossa nova,influenced by
mpb,samba-canção,influenced by
norteño,movimiento alterado,subgenre
movimiento alterado,banda sinaloense,influenced by
pop soul,motown,subgenre
motown,gospel,influenced by
mor lam,mor lam sing,subgenre
mor lam sing,luk thung,influenced by
electro house,dutch house,subgenre
edm,moombahton,subgenre
moombahton,dutch house,influenced by
moombahton,reggaeton,influenced by
edm,moombahcore,subgenre
moombahcore,brostep,influenced by
moombahcore,complextro,influenced by
mood kayō,jazz,influenced by
western classical,modern classical,subgenre
blues,modern blues,subgenre
jazz,modal jazz,subgenre
sertanejo raiz,moda de viola,subgenre
mod,mod revival,subgenre
mod revival,punk rock,influenced by
rock,mod,subgenre
mod,beat music,influenced by
mod,british rhythm & blues,influenced by
mod,jazz,influenced by
mod,r&b,influenced by
hip hop,mobb music,subgenre
mobb music,funk,influenced by
synth funk,minneapolis sound,subgenre
minneapolis sound,contemporary r&b,influenced by
minneapolis sound,disco,influenced by
modern classical,minimalism,subgenre
minimalism,hindustani classical,influenced by
minimal wave,minimal synth,subgenre
minimal synth,synth-pop,influenced by
electronic,minimal wave,subgenre
techno,minimal techno,subgenre
minimal techno,detroit techno,influenced by
drum and bass,minimal drum and bass,subgenre
grindcore,mincecore,subgenre
tango,milonga,influenced by
rock,miejski folk,subgenre
miejski folk,folk,influenced by
miejski folk,punk,influenced by
midwest emo,indie rock,influenced by
midwest emo,post-hardcore,influenced by
edm,midtempo bass,subgenre
midtempo bass,electro house,influenced by
midtempo bass,post-industrial,influenced by
midtempo bass,tech house,influenced by
electronic,microsound,subgenre
house,microhouse,subgenre
microhouse,glitch,influenced by
microhouse,idm,influenced by
microhouse,minimal techno,influenced by
hip hop,miami bass,subgenre
miami bass,electro,influenced by
metalcore,hardcore punk,fusion of
metalcore,metal,fusion of
metal,blues rock,influenced by
merengue,merenhouse,subgenre
merenhouse,dancehall,influenced by
merenhouse,hip hop,influenced by
merenhouse,house,influenced by
merecumbé,cumbia,fusion of
merecumbé,merengue,fusion of
reggae,mento,influenced by
hardcore hip hop,memphis rap,subgenre
memphis rap,electro,influenced by
trance,melodic trance,subgenre
melodic trance,dream trance,influenced by
melodic trance,hard trance,influenced by
melodic trance,progressive trance,influenced by
techno,melodic techno,subgenre
melodic techno,minimal techno,influenced by
melodic techno,trance,influenced by
metalcore,melodic metalcore,subgenre
melodic metalcore,melodic death metal,influenced by
hardcore punk,melodic hardcore,subgenre
dubstep,melodic dubstep,subgenre
death metal,melodic death metal,subgenre
melodic death metal,heavy metal,influenced by
folk rock,medieval rock,subgenre
medieval rock,hard rock,influenced by
medieval rock,neo-medieval folk,influenced by
folk metal,medieval metal,subgenre
medieval metal,neo-medieval folk,influenced by
marabi,mbaqanga,subgenre
mbaqanga,kwela,influenced by
mbaqanga,swing,influenced by
maxixe,tango,influenced by
tango,maxixe,influenced by
metalcore,mathcore,subgenre
mathcore,math rock,influenced by
rock,math rock,subgenre
math rock,noise rock,influenced by
math rock,post-hardcore,influenced by
math rock,math pop,subgenre
math pop,indie pop,influenced by
math pop,indie rock,influenced by
math pop,midwest emo,influenced by
mashcore,hardcore techno,influenced by
post-industrial,martial industrial,subgenre
martial industrial,dark ambient,influenced by
martial industrial,neoclassical dark wave,influenced by
martial industrial,neofolk,influenced by
western classical,march,subgenre
dobrado,march,influenced by
jazz,marabi,subgenre
pop rock,manila sound,subgenre
manila sound,disco,influenced by
manila sound,funk,influenced by
manila sound,kundiman,influenced by
manila sound,soft rock,influenced by
rock,mangue beat,subgenre
mangue beat,alternative rock,influenced by
mangue beat,ciranda,influenced by
mangue beat,coco,influenced by
mangue beat,funk rock,influenced by
mangue beat,hip hop,influenced by
mangue beat,maracatu,influenced by
folk pop,manele,subgenre
manele,dance-pop,influenced by
maloya,séga,influenced by
mallsoft,easy listening,influenced by
mallsoft,smooth jazz,influenced by
makossa,highlife,influenced by
makossa,jazz,influenced by
makossa,rumba cubana,influenced by
makossa,soukous,influenced by
techno,makina,subgenre
makina,ebm,influenced by
makina,new beat,influenced by
rock,mainstream rock,subgenre
shaabi,mahraganat,subgenre
mahraganat,edm,influenced by
mahraganat,hip hop,influenced by
western classical,madrigal,subgenre
alternative dance,madchester,subgenre
madchester,funk,influenced by
madchester,jangle pop,influenced by
pop,nyū myūjikku,subgenre
nyū myūjikku,contemporary folk,influenced by
nyū myūjikku,kayōkyoku,influenced by
tango,nuevo tango,subgenre
nuevo tango,western classical,influenced by
nuevo tango,jazz,influenced by
nuevo flamenco,blues,influenced by
nuevo flamenco,jazz,influenced by
nuevo flamenco,rock,influenced by
nueva canción,nuevo cancionero,subgenre
trova,nueva trova,subgenre
nueva trova,nueva canción,influenced by
singer-songwriter,nueva canción,subgenre
nu skool breaks,drum and bass,influenced by
nu skool breaks,techno,influenced by
nu skool breaks,uk garage,influenced by
alternative metal,nu metal,subgenre
nu metal,funk metal,influenced by
nu metal,hip hop,influenced by
electronic,nu jazz,subgenre
nu jazz,jazz,influenced by
electronic,nu disco,subgenre
nu disco,disco,influenced by
dub,novo dub,subgenre
novo dub,electronic,influenced by
ragtime,novelty piano,subgenre
singer-songwriter,nova cançó,subgenre
mambo chileno,mambo urbano,influenced by
soul,northern soul,subgenre
tejano,norteño,influenced by
nortec,banda sinaloense,influenced by
nortec,house,influenced by
nortec,idm,influenced by
nortec,norteño,influenced by
hardcore punk,noisecore,subgenre
noisecore,noise,influenced by
rock,noise rock,subgenre
indie rock,noise pop,subgenre
experimental,noise,subgenre
experimental rock,no wave,subgenre
no wave,punk rock,influenced by
post-hardcore,nintendocore,subgenre
nintendocore,chiptune,influenced by
electronic,nightcore,subgenre
rock,new wave,subgenre
new wave,electronic,influenced by
new wave,pop rock,influenced by
new wave,punk rock,influenced by
new wave,new romantic,subgenre
new romantic,glam rock,influenced by
new romantic,synth-pop,influenced by
alternative dance,new rave,subgenre
new rave,dance-punk,influenced by
new rave,indie rock,influenced by
r&b,new orleans r&b,subgenre
blues,new orleans blues,subgenre
new orleans blues,jazz,influenced by
contemporary r&b,new jack swing,subgenre
new jack swing,funk,influenced by
new jack swing,hip hop,influenced by
ebm,new beat,subgenre
new beat,dark wave,influenced by
neurohop,neurofunk,influenced by
drum and bass,neurofunk,subgenre
neurofunk,techstep,influenced by
new wave,neue deutsche welle,subgenre
neue deutsche welle,electropunk,influenced by
neue deutsche welle,industrial,influenced by
neue deutsche welle,post-punk,influenced by
neue deutsche welle,punk rock,influenced by
neue deutsche welle,synth-pop,influenced by
alternative metal,neue deutsche härte,subgenre
neue deutsche härte,edm,influenced by
neue deutsche härte,industrial metal,influenced by
hip hop,nerdcore,subgenre
reggaeton,neoperreo,subgenre
contemporary folk,neofolk,subgenre
neofolk,post-industrial,influenced by
neocrust,black metal,influenced by
neocrust,post-metal,influenced by
neocrust,screamo,influenced by
neocrust,sludge metal,influenced by
western classical,neoclassicism,subgenre
new age,neoclassical new age,subgenre
neoclassical new age,baroque,influenced by
neoclassical new age,western classical,influenced by
metal,neoclassical metal,subgenre
neoclassical metal,western classical,influenced by
neoclassical metal,heavy metal,influenced by
dark wave,neoclassical dark wave,subgenre
neoclassical dark wave,western classical,influenced by
contemporary country,neo-traditional country,subgenre
neo-traditional country,honky tonk,influenced by
neo-traditional country,pop rock,influenced by
rock,neo-rockabilly,subgenre
punk,neo-rockabilly,influenced by
rockabilly,neo-rockabilly,influenced by
psychedelic,neo-psychedelia,subgenre
progressive rock,neo-progressive rock,subgenre
neo-progressive rock,symphonic prog,influenced by
folk,neo-medieval folk,subgenre
pop,neo-acoustic,subgenre
neo-acoustic,folk rock,influenced by
neo-acoustic,indie pop,influenced by
neo-acoustic,jangle pop,influenced by
neo-acoustic,new wave,influenced by
neo-acoustic,post-punk,influenced by
soul,neo soul,subgenre
neo soul,contemporary r&b,influenced by
neo soul,hip hop,influenced by
éntekhno,neo kyma,subgenre
neo kyma,chanson française,influenced by
pop,nederpop,subgenre
beat music,nederbeat,subgenre
field recording,nature sounds,subgenre
country,nashville sound,subgenre
nashville sound,pop,influenced by
corrido,narcocorrido,subgenre
özgün müzik,anatolian rock,influenced by
özgün müzik,arabesk,influenced by
house,outsider house,subgenre
outsider house,deep house,influenced by
progressive country,outlaw country,subgenre
outlaw country,rock,influenced by
oriental ballad,gagok,influenced by
jazz,orchestral jazz,subgenre
edm,nortec,subgenre
nueva canción española,nova cançó,influenced by
operatic pop,western classical,influenced by
operatic pop,opera,influenced by
western classical,opera,subgenre
reductionism,onkyo,subgenre
onkyo,free improvisation,influenced by
onda nueva,bossa nova,influenced by
onda nueva,jazz,influenced by
onda nueva,joropo,influenced by
folk,old-time,subgenre
hip hop,old school hip hop,subgenre
old school hip hop,disco,influenced by
death metal,old school death metal,subgenre
punk rock,oi,subgenre
rock,occult rock,subgenre
occult rock,blues,influenced by
occult rock,hard rock,influenced by
occult rock,progressive rock,influenced by
occult rock,psychedelic rock,influenced by
punk,punk rock,subgenre
punk rock,garage rock,influenced by
punk rock,rock and roll,influenced by
punk rock,surf rock,influenced by
hip hop,punk rap,subgenre
punk rap,punk,influenced by
rock,punk blues,subgenre
punk blues,blues rock,influenced by
punk blues,punk rock,influenced by
punk,garage rock,influenced by
punk,proto-punk,influenced by
rock,pub rock,subgenre
trance,psytrance,subgenre
psytrance,acid trance,influenced by
psycore,dark ambient,influenced by
psycore,glitch,influenced by
psychobilly,punk rock,fusion of
psychobilly,rockabilly,fusion of
soul,psychedelic soul,subgenre
psychedelic soul,psychedelic rock,influenced by
rock,psychedelic rock,subgenre
psychedelic rock,psychedelic,influenced by
pop,psychedelic pop,subgenre
psychedelic pop,psychedelic,influenced by
contemporary folk,psychedelic folk,subgenre
psychedelic folk,psychedelic,influenced by
electronic,psybient,subgenre
psybient,ambient,influenced by
psybient,goa trance,influenced by
psybient,psytrance,influenced by
rock,proto-punk,subgenre
trance,progressive trance,subgenre
progressive trance,progressive house,influenced by
rock,progressive rock,subgenre
progressive rock,western classical,influenced by
progressive rock,jazz,influenced by
pop,progressive pop,subgenre
metal,progressive metal,subgenre
progressive metal,progressive rock,influenced by
house,progressive house,subgenre
progressive house,trance,influenced by
contemporary folk,progressive folk,subgenre
electronic,progressive electronic,subgenre
progressive electronic,ambient,influenced by
progressive electronic,western classical,influenced by
progressive electronic,progressive rock,influenced by
country,progressive country,subgenre
progressive country,contemporary folk,influenced by
progressive country,rock,influenced by
progressive breaks,progressive house,influenced by
progressive bluegrass,folk,influenced by
progressive bluegrass,jazz,influenced by
progressive bluegrass,rock,influenced by
comedy,prank calls,subgenre
hardcore punk,powerviolence,subgenre
powerviolence,grindcore,influenced by
soca,power soca,subgenre
pop rock,power pop,subgenre
post-industrial,power noise,subgenre
power noise,electronic,influenced by
power noise,noise,influenced by
metal,power metal,subgenre
power metal,heavy metal,influenced by
power metal,speed metal,influenced by
noise,power electronics,subgenre
power electronics,industrial,influenced by
rock,post-rock,subgenre
post-rock,ambient,influenced by
post-rock,jazz,influenced by
post-rock,slowcore,influenced by
post-punk,post-punk revival,subgenre
post-punk revival,indie rock,influenced by
post-punk revival,new wave,influenced by
rock,post-punk,subgenre
post-punk,punk rock,influenced by
modern classical,post-minimalism,subgenre
post-minimalism,minimalism,influenced by
metal,post-metal,subgenre
post-metal,post-rock,influenced by
industrial,post-industrial,subgenre
punk,post-hardcore,subgenre
post-hardcore,experimental rock,influenced by
post-hardcore,hardcore punk,influenced by
alternative rock,post-grunge,subgenre
post-grunge,grunge,influenced by
contemporary classical,post-classical,subgenre
post-classical,electronic,influenced by
alternative rock,post-britpop,subgenre
post-britpop,britpop,influenced by
post-britpop,indie rock,influenced by
jazz,post-bop,subgenre
post-bop,avant-garde jazz,influenced by
post-bop,hard bop,influenced by
post-bop,modal jazz,influenced by
porro,cumbia,influenced by
goregrind,pornogrind,subgenre
funk,porn groove,subgenre
rock,pop yeh-yeh,subgenre
pop yeh-yeh,beat music,influenced by
pop soul,pop,fusion of
pop soul,soul,fusion of
pop rock,pop,fusion of
pop rock,rock,fusion of
hip hop,pop rap,subgenre
pop rap,pop,influenced by
raï,pop raï,subgenre
pop raï,pop,influenced by
punk rock,pop punk,subgenre
pop punk,pop,influenced by
metal,pop metal,subgenre
pop metal,arena rock,influenced by
pop metal,pop,influenced by
pop,pop ghazal,subgenre
pop ghazal,ghazal,influenced by
dungeon synth,dungeon chip,subgenre
trot,pon-chak disco,subgenre
pon-chak disco,synth-pop,influenced by
hip hop,political hip hop,subgenre
poetry,slam poetry,subgenre
poetry,sound poetry,subgenre
experimental,plunderphonics,subgenre
plugg,pluggnb,subgenre
pluggnb,jazz,influenced by
pluggnb,r&b,influenced by
trap,plugg,subgenre
tarantella,pizzica,subgenre
forró eletrônico,piseiro,subgenre
country blues,piedmont blues,subgenre
shibuya-kei,picopop,subgenre
picopop,electronic,influenced by
rock,piano rock,subgenre
blues,piano blues,subgenre
piano blues,ragtime,influenced by
hip hop,phonk,subgenre
phonk,memphis rap,influenced by
phonk,trap,influenced by
folk rock,phleng phuea chiwit,subgenre
phleng phuea chiwit,luk thung,influenced by
phleng phuea chiwit,mor lam,influenced by
soul,philly soul,subgenre
philly soul,pop soul,influenced by
pop,persian pop,subgenre
techno,peak time techno,subgenre
peak time techno,acid techno,influenced by
peak time techno,trance,influenced by
pasillo,waltz,influenced by
samba,partido alto,subgenre
palm-wine,calypso,influenced by
neo-psychedelia,paisley underground,subgenre
paisley underground,jangle pop,influenced by
paisley underground,new wave,influenced by
paisley underground,power pop,influenced by
paisley underground,psychedelic pop,influenced by
paisley underground,psychedelic rock,influenced by
pagode,pagode romântico,subgenre
pagode romântico,axé,influenced by
pagode romântico,pop,influenced by
pagode romântico,samba-rock,influenced by
pagode romântico,sertanejo,influenced by
samba,pagode,subgenre
samba,pagodão,subgenre
pagodão,pagode,influenced by
pagodão,samba-reggae,influenced by
folk,pagan folk,subgenre
pagan black metal,folk,influenced by
pachanga,conga,influenced by
pachanga,cumbia,influenced by
pachanga,merengue,influenced by
pachanga,rumba cubana,influenced by
funk,p-funk,subgenre
ryūkōka,western classical,influenced by
art song,russian romance,subgenre
pop,russian chanson,subgenre
runo song,seto leelo,subgenre
flamenco,rumba flamenca,subgenre
rumba flamenca,guaguancó,influenced by
rumba flamenca,guaracha,influenced by
rumba flamenca,rumba catalana,influenced by
rumba flamenca,son cubano,influenced by
rumba catalana,rumba flamenca,influenced by
rumba catalana,pop,influenced by
rumba catalana,rumba cubana,influenced by
western classical,romantic classical,subgenre
rock,roots rock,subgenre
roots rock,blues,influenced by
roots rock,country,influenced by
roots rock,r&b,influenced by
reggae,roots reggae,subgenre
pop,rom kbach,subgenre
rocksteady,ska,influenced by
rocksteady,soul,influenced by
reggae,rocksteady,influenced by
rock and roll,rockabilly,subgenre
rock,rock urbano,subgenre
rock urbano,progressive rock,influenced by
rock,rock opera,subgenre
rock opera,musical,influenced by
rock,rock andino,subgenre
rock andino,folk,influenced by
rock andino,progressive rock,influenced by
rock andino,psychedelic rock,influenced by
reggae,pacific reggae,subgenre
pacific reggae,folk,influenced by
mass,requiem,subgenre
rock,rock andaluz,subgenre
rock andaluz,flamenco,influenced by
rock andaluz,symphonic prog,influenced by
rock,rock and roll,subgenre
rock and roll,r&b,influenced by
rock and roll,traditional country,influenced by
rock and roll,blues,influenced by
reggaeton,rkt,subgenre
rkt,cumbia villera,influenced by
dark ambient,ritual ambient,subgenre
punk rock,riot grrrl,subgenre
riot grrrl,grunge,influenced by
riot grrrl,noise rock,influenced by
riot grrrl,post-hardcore,influenced by
latin,rhumba,subgenre
rhumba,bolero,influenced by
rhumba,jazz,influenced by
rhumba,pop,influenced by
rhumba,rumba cubana,influenced by
rhumba,son cubano,influenced by
western classical,renaissance,subgenre
reggae,reggae-pop,subgenre
reggae-pop,contemporary r&b,influenced by
reggae-pop,pop,influenced by
reggae-pop,soul,influenced by
reggae,r&b,influenced by
reggae,ska,influenced by
country,red dirt,subgenre
red dirt,outlaw country,influenced by
red dirt,southern rock,influenced by
mambo chileno,reggaeton,influenced by
rock,rautalanka,subgenre
rautalanka,rock and roll,influenced by
rautalanka,schlager,influenced by
rautalanka,surf rock,influenced by
funk brasileiro,rasteirinha,subgenre
rasteirinha,axé,influenced by
rasteirinha,reggaeton,influenced by
rasteirinha,samba,influenced by
rasin,rock,influenced by
rara,haitian vodou drumming,influenced by
rapso,hip hop,fusion of
rapso,soca,fusion of
rapcore,hardcore punk,fusion of
rapcore,hip hop,fusion of
rap rock,hip hop,fusion of
rap rock,rock,fusion of
alternative metal,rap metal,subgenre
rap metal,funk metal,influenced by
rap metal,hip hop,influenced by
rap metal,rap rock,influenced by
ragtime,march,influenced by
jungle,ragga jungle,subgenre
ragga jungle,dub,influenced by
ragga jungle,ragga,influenced by
ragga hip-hop,hip hop,fusion of
ragga hip-hop,ragga,fusion of
psychedelic rock,raga rock,subgenre
r&b,quiet storm,subgenre
punk rock,queercore,subgenre
qasidah modern,dangdut,influenced by
qasidah modern,pop,influenced by
qaraami,funk,influenced by
qaraami,jazz,influenced by
qaraami,pop,influenced by
qaraami,soul,influenced by
pop,q-pop,subgenre
gospel,sacred steel,subgenre
sacred steel,bebop,influenced by
sacred steel,delta blues,influenced by
sacred steel,electric blues,influenced by
saeta,flamenco,influenced by
salsa,salsa choke,subgenre
salsa choke,hip hop,influenced by
salsa choke,house,influenced by
salsa choke,reggaeton,influenced by
salsa,salsa dura,subgenre
salsa,salsa romántica,subgenre
salsa romántica,pop,influenced by
salsa,mambo,influenced by
salsa,son cubano,influenced by
samba,samba de breque,subgenre
samba de breque,samba-choro,influenced by
samba,samba de gafieira,subgenre
samba de gafieira,big band,influenced by
samba de gafieira,lundu,influenced by
samba de gafieira,maxixe,influenced by
samba,samba de roda,subgenre
samba,samba de terreiro,subgenre
samba-rock,samba soul,subgenre
samba soul,funk,influenced by
samba soul,soul,influenced by
samba,samba-canção,subgenre
samba-choro,choro,fusion of
samba-choro,samba,fusion of
samba,samba-enredo,subgenre
samba,samba-exaltação,subgenre
samba-jazz,jazz,fusion of
samba-jazz,samba,fusion of
samba,samba-joia,subgenre
samba-joia,bolero,influenced by
samba-reggae,partido alto,fusion of
samba-reggae,reggae,fusion of
samba-reggae,merengue,influenced by
samba-reggae,salsa,influenced by
samba,samba-rock,subgenre
samba-rock,rock,influenced by
tropicália,samba-rock,influenced by
samba,sambalanço,subgenre
sambalanço,jazz,influenced by
sambalanço,samba-exaltação,influenced by
santé engagé,séga,influenced by
sarala gee,hindustani classical,influenced by
hardcore punk,sasscore,subgenre
sasscore,dance-punk,influenced by
sasscore,new wave,influenced by
sasscore,post-hardcore,influenced by
pop,schlager,subgenre
techno,schranz,subgenre
post-hardcore,screamo,subgenre
screamo,emo,influenced by
screamo,hardcore punk,influenced by
electronic,synthwave,subgenre
synthwave,electro-disco,influenced by
synthwave,house,influenced by
synthwave,italo-disco,influenced by
synthwave,progressive electronic,influenced by
synthwave,synth-pop,influenced by
pop,synth-pop,subgenre
synth-pop,progressive electronic,influenced by
funk,synth funk,subgenre
western classical,symphony,subgenre
rock,symphonic rock,subgenre
symphonic rock,western classical,influenced by
progressive rock,symphonic prog,subgenre
symphonic prog,western classical,influenced by
metal,symphonic metal,subgenre
symphonic metal,western classical,influenced by
symphonic metal,gothic metal,influenced by
symphonic metal,power metal,influenced by
symphonic black metal,western classical,influenced by
folk,scrumpy and western,subgenre
scrumpy and western,comedy,influenced by
swing,swing revival,subgenre
swing revival,punk rock,influenced by
swing revival,rockabilly,influenced by
swing revival,ska,influenced by
jazz,swing,subgenre
rock,swamp rock,subgenre
swamp rock,cajun,influenced by
swamp rock,new orleans blues,influenced by
swamp rock,pop,influenced by
swamp rock,zydeco,influenced by
r&b,swamp pop,subgenre
swamp pop,blues,influenced by
swamp pop,new orleans r&b,influenced by
swamp pop,rock and roll,influenced by
electric blues,swamp blues,subgenre
swamp blues,cajun,influenced by
swamp blues,zydeco,influenced by
visual kei,loud kei,subgenre
folk,sutartinės,subgenre
irish folk,sean-nós,subgenre
electronic,seapunk,subgenre
surf,surf rock,subgenre
surf rock,rock and roll,influenced by
